Ti mɛ̀ ɓɔ̀t yɛ̂m.	Ti me bot yem.
À ǹlɔ̂ à ǹyondɓɛnɛ mɛ̂.	A nlo a nyôndbene me.
Sûp ı̀ ǹtigı̀l.	Sup i ntigil.
Bı̀kɛŋi gwee bi ye nı̀ mbɔk yɔ̀sô.	Bikeñi gwéé bi yé ni mbok yosô.
Ɓòdàa ɓàhɔgi ɓa nlà ɓe top sambò.	Bôdaa bahogi ba nla bé tôp sambô.
Adàm ɓɔ EÖvà ɓa ɓòŋol ɓɔ̄mɛ̀dɛ màlɛ̀bɛ (Bı̀ɓ 3,8)	Adam bo ÉÖVA ba bôñôl bomede malebe (Bib 3,8)
Dı̀ ǹnigɓànà, dı̀ kahal kɛ̀ i hı̀lɔ.	Di nnigbana, di kahal ke i hilo.
Ɓa mɓàŋ bikàgà, mı̀ŋkuu, makòga.	Ba mbañ bikaga, miñkuu, makôga.
Kambo yɔn i ntèèŋga mɛ ı̄ wɔ̀m mbâs.	Kambô yon i ntééñga me i wom mbas.
Mùdàa à nhyɔ̄l ndap.	Mudaa a nhyol ndap.
Lı̀nùp m̂ɓòŋ li ye mɛ̀ lɛ̀n i wɔ̌m.	Linup mbôñ li yé me len i wom.
À ŋ̀ŋeba mɛ lı̀nàŋlɛnɛ.	A ññéba me linañlene.
Kugâ ı̀ ŋ̀kwɔ yādā munu isı̄ lı̀en jɔŋ.	Kuga i ñkwo yada munu isi lién joñ.
Tɔ̀ndɛ̀ i mbondō.	Tonde i mbôndô.
Màŋgɛ à ǹcas mɛ̂, mɛ̀ kwɔ̂!	Mañge a ntjas me, me kwo!
Dı̀ ńyèmblɛnɛ ɓaɛ̀mb ɓes nı̀ ŋgùy ı̀ M̀bu M̀pubi.	Di nyémblene baemb bés ni ñguy i Mbu Mpubi.
Mɛ̀ yè yak tâ.	Me yé yak ta.
Mɛ̀ mɓèmblaha liwanda jɛ̂m màlep.	Me mbémblaha liwanda jem malép.
Kɔk ı̀ ɓèdi ı̄ ɛ̄.	Kok i bédi i e.
Jěm li biùŋgul ŋkàŋ.	Jém li biuñgul ñkañ.
À yè mùt ŋgɛŋɛɛ̀ ŋgàndàk .	A yé mut ñgeñee ñgandak .
Mɛ̀ mpōdos liwanda jɛ̂m.	Me mpôdôs liwanda jem.
Ɓa ŋkɛ̀.	Ba ñke.
Mɛ̀ m̂ɓɛ̂mb wɛ lɛ̀n kɔŋkɔŋ.	Me mbemb we len koñkoñ.
..Nı̀ ǹlama sɔn njɔnɔ̂k inyùu màm ma tee sēp (1Pe.3:14).	..Ni nlama son njonok inyuu mam ma téé sép (1pé.3:14).
Nyùu ı̀ mɓɔ̀ŋ yaga ndigi mɛ̀ jɔ̀ndɛ̀jɔ̀ndɛ̀.	Nyuu i mboñ yaga ndigi me jondejonde.
À ǹtêdɓa i ŋgɔ̀k.	A ntédba i ñgok.
M̀maŋ mût u ńyı̀ŋyɛ̀.	Mmañ mut u nyiñye.
Ŋ̀kònôk u ŋgând.	Ñkônôk u ñgand.
Tòs nû.	Tôs nu.
À ŋ̀ogha mɛ ɓɔ̀n ɓa cɔbı̄; dı̀ ŋōgha ǹlèlèm lep.	A ñôgha me bon ba tjobi; di ñôgha nlélém lép.
Lı̀kɔ̀ŋ li ŋgaa li nluhūl mɛ̂!	Likoñ li ñgaa li nluhul me!
Kuk bı̀loò.	Kuk bilôô.
Ɓàŋga ini i ńyàŋ mɛ ŋɛ̄m.	Bañga ini i nyañ me ñem.
Ŋgàndàk ɓòt ı̀ nyı̄ litı̀ŋ lini lɛ ù ǹnɔl ɓâŋ.	Ñgandak bôt i nyi litiñ lini le u nnol bañ.
Nundlɛ̀ mɛ̀ bı̀tòdò njàl ı̀ gwèe mɛ̀.	Nundle me bitôdô njal i gwéé me.
Kwèhnɛ̀ hɔp.	Kwéhne hop.
À ǹsebha mɛ kât, dı̀ ǹsebha kât.	A nsébha me kat, di nsébha kat.
Ɓa mɓep nyɛ ɓēba ndôm.	Ba mbép nye béba ndôm.
Ɓoblɛnɛ mɛ̀ màlep.	Bôblene me malép.
Lı̀ɓɔ̀mà li sibà.	Liboma li siba.
Nunu màŋgɛ à ŋgwēs zàzu.	Nunu mañge a ñgwés zazu.
Mɛ̀ ǹyɛgɛ̄l sa wɛ̂m.	Me nyegel sa wem.
Jɔmbɛ jɔ̄ŋ li ye lı̀lam.	Jombe joñ li yé lilam.
Mùt wɔ̀ŋ nû à yè kwɛlakwɛ̀là .	Mut woñ nu a yé kwelakwela .
Ǹten liɓɔdɓàgà li nhɔɔp lini li mèles laŋ.	Ntén libodbaga li nhoop lini li mélés lañ.
Ndap ı̀ ɓiinɛ bijɛk.	Ndap i biine bijek.
Ta à ǹcâl mɛ màtay inyùu sàyàp mɛ̀.	Ta a ntjal me matay inyuu sayap me.
Mɛ̀ ǹnɛɛɓɛnɛ jàm lini mahɛ̂l.	Me nneebene jam lini mahel.
Mɛ̀ m̂mâl ɓɔ̄l cee di majò.	Me mmal bol tjéé di majô.
Mùdàa à ǹcɛl dindɔ̀là.	Mudaa a ntjel dindola.
Ŋ̀ŋɛm we ù ńyonhana masee (Schürle)= ŋ̀ŋɛm we u ńyɔn ni màsee.	Ññem wé u nyônhana maséé (Schürle)= ññem wé u nyon ni maséé.
Ɓa nha sogol (i) ntı̄m.	Ba nha sôgôl (i) ntim.
Lı̀soŋgôl ɓòt li taɓē ɓûn!	Lisôñgôl bôt li tabé bun!
Ɓàkùm kaaga ɓa nlɔ̂.	Bakum kaaga ba nlo.
Lı̀ɓam li mɓoo bipɛ̀s biɓaà.	Libam li mbôô bipes bibaa.
Ŋ̀ɛm (u) ɓuk.	Ñem (u) buk.
Sɛ̀m ŋgɔ̀nd.	Sem ñgond.
Dı̀ ŋ̀kɛ yāga jogà mu njɛ̌l ı̀!	Di ñke yaga jôga mu njel i!
Kop ı̀ ńyòndop i nɔ̌p.	Kôp i nyôndôp i nop.
Màjò à ǹnaŋ mɛ̂.	Majô a nnañ me.
Ù ŋ̀gweles mintomba ŋgandàk.	U ñgwélés mintômba ñgandak.
Lı̀en li ŋgwēynɛ i kède wɔ̌m.	Lién li ñgwéyne i kédé wom.
"Bı̀hègel..bi..mɓɛ̀mb masɔ̀ɔ̀là ma ɓɔn ɓa Nyambɛ̂.." Rom 8:19.	"Bihégél..bi..mbemb masoola ma bon ba Nyambe.." Rôm 8:19.
Màlêt à ŋkɛ̂ mohôl mɛ̀ ɓèe.	Malét a ñke môhôl me béé.
Pil wɛ̂m u nseeà.	Pil wem u nsééa.
Ù ǹhombos maɓam i kɛ̀y ɛ̀? .	U nhômbôs mabam i key e? .
Ŋ̀kɔ̀t bı̀ɓuk.	Ñkot bibuk.
Tǒŋ nı̀ mɛ̀!	Tôñ ni me!
Ɓeba mbɛbı̄ i nhòŋ bilɔ̀ŋ bi ɓakana.	Béba mbebi i nhôñ biloñ bi bakana.
Ɓàa ù mɓòŋol nsɔn bı̀nı̀nı̀ŋi?	Baa u mbôñôl nson bininiñi?
I[204]ni ndap ı̀ yè wɔēk.	I[204]ni ndap i yé woék.
Ɓɔ̀bɔ̀ŋ i njɛ̄ hiòndɛ̀.	Boboñ i nje hiônde.
Kı̀lɔ̂k yɛ̀m ı̀ ŋkɛ̀ ni ŋgɔ̀k.	Kilok yem i ñke ni ñgok.
Pɔɔ ı̀ nsòghɛ nyɛ ŋgàndàk.	Poo i nsôghe nye ñgandak.
Lı̀yèbel li lɔ̂m.	Liyébél li lom.
Ndòy ı̀ ŋ̀gwɛ̂l mɛ kōp.	Ndôy i ñgwel me kôp.
Nyǎŋ à nsàmbla man.	Nyañ a nsambla man.
Mùdàà nunu à m̂ɓolōs mɛ ŋ̀umba nyik.	Mudaa nunu a mbôlôs me ñumba nyik.
Mɛ̀ ŋgwēs maŋgòlò ŋgàndàk.	Me ñgwés mañgôlô ñgandak.
Mɛ̀ ŋgwēs maŋgòlò ŋgàndàk.	Me ñgwés mañgôlô ñgandak.
À ǹsagnɛ liɓɔ̄ŋ.	A nsagne liboñ.
À nhēnd wɛ̀ɛ sı̀bkalâk.	A nhénd wee sibkalak.
Ŋgɔmbɔ ŋ̀ɔ.	Ñgombo ño.
Ɓa nsɔ̀ba lalâŋ.	Ba nsoba lalañ.
Cǒs di nnyēŋel mɛ ı̄ mbūs.	Tjôs di nnyéñél me i mbus.
Lı̀hɛmɛ̂k li ŋɔ ması̂ŋ li nlɔ̄ŋa mao.	Lihemek li ño masiñ li nloña maô.
Mɛ̀ ŋ̀kɛ ı̄ tēmpɛ̀l.	Me ñke i témpel.
Lɛ̌n ı̀ni ɓàsàa ɓa nhāba bihosɛ̀n.	Len ini basaa ba nhaba bihôsen.
Lı̀kɔ̀nd li ŋŋwēges nyɛ.	Likond li ññwégés nye.
Paul à ɓe hyanda inyùu ɓòt ɓe...(Kòl 2,1).	Paul a bé hyanda inyuu bôt bé...(Kôl 2,1).
Màŋgɛ à ŋ̀kwahal ɓɔ̂blà.	Mañge a ñkwahal bobla.
Lı̀sɔɔhɛ̀ Nyambɛ̂ (Jɔ̌p) li ye sày.	Lisoohe Nyambe (Jop) li yé say.
Hɔ̀ya ŋŋɛm.	Hoya ññem.
Sɔ̀sɔ̀nà à ǹsulūl mɛ̂.	Sosona a nsulul me.
À ŋgwēs ŋgɔgɔ̀l.	A ñgwés ñgogol.
Wɛ̌n ù ǹtônha mɛ̂ mbɔt i mbūs ɓɛ̄; dı̀ ǹtônha miŋkòŋ.	Wen u ntônha me mbot i mbus be; di ntônha miñkôñ.
Yesù à binàŋlɛ (i) jēhnɛ bilem.	Yésu a binañle (i) jéhne bilém.
Hı̀ɓɛ̀ɓɛɛ̄ hi biɛ bi likàŋ.	Hibebee hi bie bi likañ.
Màsı̀ŋ ma yenɛ̀ nsɛ̄ŋ isi.	Masiñ ma yéne nseñ isi.
Yɔ̀blɛnɛ mɛ̀ ndèk wèy mû.	Yoblene me ndék wéy mu.
Mùt à gwèe kùna.	Mut a gwéé kuna.
Soŋ ı̀ ǹnɛnɛ̂.	Sôñ i nnene.
Pɛndɛl ɓěs kop ndòy ı̀ ǹsɔgɔ̂l.	Pendel bés kôp ndôy i nsogol.
Mɛ̀ gwèe ŋ̀kùs.	Me gwéé ñkus.
Bini bı̀ɛ bi nhōlha kı̀i lı̀has.	Bini bie bi nhôlha kii lihas.
Mɛ̀ ntōos ŋgwɔ yɛ̂m nùga.	Me ntôôs ñgwo yem nuga.
Lı̀niâk jee li ŋ́wēha nyuu.	Liniak jéé li ñwéha nyuu.
Pên ı̀ yè ŋgı̀ hoâ ndāp.	Pén i yé ñgi hôa ndap.
Màŋgɛ nyɛn à m̂ɓɛ̂mɓɛnɛ i wı̌ndà ndi à tı̂mbhɛ mɛ̂.	Mañge nyen a mbembene i winda ndi a timbhe me.
Mùt mɔ̀k à ǹnibɓa ɓatat i mı̌s.	Mut mok a nnibba batat i mis.
"Dı̀ bitēeda ɓe matı̀ŋ mɔŋ, tɔ̀ màtèŋ, tɔ̀ màteâk, ma ù kǎl ŋ̀kɔ̀l wɔŋ lɛ Mosè" Nèhèmià 1:7.	"Di bitééda bé matiñ moñ, to matéñ, to matéak, ma u kal ñkol woñ le Môsé" Néhémia 1:7.
Sudɛ ɓı̄ŋ.	Sude biñ.
Kı̀i Bı̄sɔ̀p (Pastò, Pàdà) à m̂mâl sɔɔhɛ̀ hi mût à kâl lɛ àmɛ̀n.	Kii Bisop (Pastô, Pada) a mmal soohe hi mut a kal le amen.
Ù ɓɔ̀ŋ ɓâŋ kɔ̀ni halà!	U boñ bañ koni hala!
Kada yɛ̂m i nnimı̂l.	Kada yem i nnimil.
Lı̀teâk li wɔɔ i ŋgı̀ı̀.	Litéak li woo i ñgii.
U hɔ̄blɛ̄ ù mpām, ù hyɔl ndap.	U hoble u mpam, u hyol ndap.
Màtèmb nı̀ mbus à heha nyàgà lı̀kus i mbūs.	Matémb ni mbus a héha nyaga likus i mbus.
Wɔ̀ŋi (u) Yehōvà u ye bı̀ɓòdlɛnɛ bi pêk (Bı̀ŋ 9,10).	Woñi (u) Yéhôva u yé bibôdlene bi pék (Biñ 9,10).
À yè mùt ɓoɓola.	A yé mut bôbôla.
Mɛ̀ biɓɛ̀l ɛ njâp 1997 ŋkɔ̀ŋ wɛ̂m.	Me bibel e njap 1997 ñkoñ wem.
Mɛ̀ biɓɛ̀l ɛ njâp 1997 ŋkɔ̀ŋ wɛ̂m.	Me bibel e njap 1997 ñkoñ wem.
Kiibà mùt.	Kiiba mut.
Hyàp njêk.	Hyap njék.
Tàda nı̀ Mǎn nı̀ Mbu M̀pubi ɓa ye m̂pɔ̀m Nyambɛ wāda.	Tada ni Man ni Mbu Mpubi ba yé mpom Nyambe wada.
Mǎn à nsābâ.	Man a nsaba.
Lı̀ɓɔ̀t ǹlòŋ li ta ɓē ɓûn.	Libot nlôñ li ta bé bun.
À dû ù ŋkɛ̀ ha ɓee i ɓɔ̀ma?	A du u ñke ha béé i boma?
Mbɔ̌m ı̀ ǹnût nyɛ.	Mbom i nnut nye.
Nı̀ hyomna ɓâŋ yɔ̀m bikwà binân.	Ni hyômna bañ yom bikwa binan.
À ǹnyɔ̂s bikay i kède m̂pek.	A nnyos bikay i kédé mpék.
Jèbdè mût.	Jébdé mut.
Lı̀wààlàk jɔŋ li nyɔ̂.	Liwaalak joñ li nyo.
Mı̀nlɔp mi ŋkɔ̀bà.	Minlop mi ñkoba.
Ɓɔ̀ŋgɛ ɓa ŋɛ̄glana bikɔ̀ga.	Boñge ba ñeglana bikoga.
"Ù gahɔ̄ɔ nyɛ (Sàmuɛ̀l), lɛ a yilā mbɔmbɔ̀k (i) ŋgı̀i ɓòt ɓɛ̂m Isràɛ̂l".	"U gahoo nye (Samuel), le a yila mbombok (i) ñgii bôt bem Israel".
Tâ à ǹnɔl ŋkwaha.	Ta a nnol ñkwaha.
Kwèhà lı̀ham (MLY).	Kwéha liham (MLY).
Ebel yɛ̂m malep i ye hı̀ɓɛ̀ɛ mbɛlɛ̂.	Ébél yem malép i yé hibee mbele.
Mùt nuu à mɓāŋda i njɛ̀l.	Mut nuu a mbañda i njel.
Ndàndòŋ nyɛn à ǹhola mɛ i tèŋ suga mɔm ŋkɔ̀k.	Ndandôñ nyen a nhôla me i téñ suga mom ñkok.
Ndàndòŋ nyɛn à ǹhola mɛ i tèŋ suga mɔm ŋkɔ̀k.	Ndandôñ nyen a nhôla me i téñ suga mom ñkok.
Ǹyèe u gweē ŋgùy.	Nyéé u gwéé ñguy.
Bı̀lɔŋgɛ bı̄ bijɛk bi nnyèdes man.	Biloñge bi bijek bi nnyédés man.
Mǎn à ŋkɔ̀n hikɔa.	Man a ñkon hikoa.
Mǎn à ŋkɔ̀n hikɔa.	Man a ñkon hikoa.
Mòò ma ntɔ̀gà.	Môô ma ntoga.
Mùt à ɓèèga ɓòl.	Mut a bééga bôl.
Yɔ̀gi i njɛ̄ hikɔ̀k.	Yogi i nje hikok.
Màŋgɛ à ŋ̀kahal kaŋal nsas.	Mañge a ñkahal kañal nsas.
M̀ɓòŋòl wɛ̀n nunu?	Mbôñôl wen nunu?
Sûdmàn à m̂ɓeŋēl mɛ ŋgǒy bı̀kay.	Sudman a mbéñél me ñgôy bikay.
Kii ù nlà hyɔ̂l halà?	Kii u nla hyol hala?
Njàgà ı̀ yè mɛ̀ minsòa.	Njaga i yé me minsôa.
Ɓa nhyuus nyɛ nı̀ màɔ̀k ma lien.	Ba nhyuus nye ni maok ma lién.
Bı̀jɛk bi nsâŋ.	Bijek bi nsañ.
Kɔnd màŋgɛ ndɔ̀k, bı̀ndɔ̀k.	Kond mañge ndok, bindok.
Mùt lı̀kàŋ.	Mut likañ.
Mɛ̀ ŋ̀kɛt liŋgɔŋ li todò 2.	Me ñket liñgoñ li tôdô 2.
Lɔp u matos.	Lop u matôs.
Teedà ǹlòŋ.	Tééda nlôñ.
Ɓɔɔga mɛ̀ bı̀holo bi bipos bini .	Booga me bihôlô bi bipôs bini .
Mɛ̀ biōŋol ndap nı̀ hı̀keŋtêk.	Me biôñôl ndap ni hikéñték.
Ǹtɔm à yè halà ǹnyùɛ̀ halà à ? .	Ntom a yé hala nnyue hala a ? .
Mɛ̀ bikòlɛ mɔnı̄ i sɔ̄mb màtowà.	Me bikôle moni i somb matôwa.
Mɛ̀ nhɔ̄k lɔŋgɛ̂.	Me nhok loñge.
À tɛhɛ ɓǎŋ nyɛ̄, à ubɛ ŋgwee.	A tehe bañ nye, a ube ñgwéé.
À gwèe mı̀ŋkoŋgo.	A gwéé miñkôñgô.
Mànyûŋ à ǹlɔ̂ nyɔɔ̀, yàà, à ntı̄ ki mɛ̂?	Manyuñ a nlo nyoo, yaa, a nti ki me?
Màsok mana!	Masôk mana!
À ŋ̀êdha nyɛ màɓàdò ma ŋwɛmɛl.	A ñédha nye mabadô ma ñwemel.
Mɛ̀ nhàŋ maŋwàhgɛ̀ i càndi.	Me nhañ mañwahge i tjandi.
Mût nunu à ǹhuhul mɛ̂.	Mut nunu a nhuhul me.
Jèŋgee li mût.	Jéñgéé li mut.
Ŋ̀kònôk u hiɓɛ̀ɛ maŋgà.	Ñkônôk u hibee mañga.
Ɓa nhı̀mha wɛ̂.	Ba nhimha we.
Mɛ̀ ǹsɛndı̀; njɛ̌l ı̀ nsɛ̀ndı̀.	Me nsendi; njel i nsendi.
Ù ŋ́wēe ɓolō i ŋgɛ̄ŋ yaŋɛn?	U ñwéé bôlô i ñgeñ yañen?
Ɓa ŋkòŋg mbây bı̀lɛ̀ŋ, ɓa ɓɔlɔ̂k yɔ pɛ̄n, ɓa kɔ̂ŋlàk yɔ gwàlâk bi ŋgôs, ɓa ɓɔlɔ̂k yɔ bı̀sahlɛ bi ńyòl nı̀ dı̀sahlɛ inyùu màɓap ma ndap	Ba ñkôñg mbay bileñ, ba bolok yo pen, ba koñlak yo gwalak bi ñgôs, ba bolok yo bisahle bi nyôl ni disahle inyuu mabap ma ndap
Mɛ̌n mɛ̀ ŋ̀ŋwêmlaha wɛ̂; dı̀ ŋ̀ŋwɛ̂mlàhà.	Men me ññwémlaha we; di ññwemlaha.
Mǎn sōndâ à nhɛ̄m hiseba.	Man sônda a nhem hiséba.
Lɔ̀ga di ɓeēgana.	Loga di béégana.
Lɔ̀ poghɛnɛ mɛ̀ ɓàtɔ̀nɛ̀ ɓa wiindà i ɓūga jɔp.	Lo pôghene me batone ba wiinda i buga jop.
I[204] jɔŋ.	I[204] joñ.
Njàl ı̀ ǹtooha mɛ kôsi maŋwı̀ı̀; dı̀ ntoōha mbɛp.	Njal i ntôôha me kôsi mañwii; di ntôôha mbep.
Kii ù nnyùmblana mɛ̂? Ɓɔŋgɛ ɓa nnyùmblànà.	Kii u nnyumblana me? Boñge ba nnyumblana.
À ǹsɔ mān lı̀wàghà.	A nso man liwagha.
Cà mbumbun.	Tja mbumbun.
Îni à nsı̀t ndap.	Ini a nsit ndap.
Dı̀gwɛgɛ̄ di ntòl ha ɓe i ɓěsnı̄.	Digwege di ntôl ha bé i bésni.
À ŋkɛ̀ à ncēbdà.	A ñke a ntjébda.
Mbı̀nd ı̀ m̂ɓoo nyɛ.	Mbind i mbôô nye.
Ɓàkèn ɓa ɓôt ɓa bitı̀la ŋgandàk inyùù yês, ɓès ɓɔmɛ̀dɛ dı̀ mɓɛ̀mb kii i tı̀là màm mes?.	Bakén ba bôt ba bitila ñgandak inyuu yés, bés bomede di mbemb kii i tila mam més?.
Kı̀ŋı̀l wɔ̌m.	Kiñil wom.
I Maɓǒŋ-lɔ̀ŋ.	I Mabôñ-loñ.
À nyehi kı̀i ǹsùhlàgà.	A nyéhi kii nsuhlaga.
Lı̀àdà jɛ̂m li ɓeè yàni.	Liada jem li béé yani.
Mɛ̀ mɓāghɛnɛ kwadɛ i kùmba yɛ̂m.	Me mbaghene kwade i kumba yem.
M̀ɓàmb kàkaò.	Mbamb kakaô.
"À (g)asòò mɛ lı̄hı̄igà i kède ndap yeē lı̀ɓàdò.	"A (g)asôô me lihiiga i kédé ndap yéé libadô.
Mana màlep ma nnyēŋha nyuu.	Mana malép ma nnyéñha nyuu.
Tàda wès nu ŋgı̀ı̀.	Tada wés nu ñgii.
Ù hoya ɓâŋ yiglɛ ɓagwɛ̀lǹsɔn bı̀jɛk.	U hôya bañ yigle bagwelnson bijek.
Màŋgɛ nunu à gwèe yı̄.	Mañge nunu a gwéé yi.
Ù tɛɛmbɛnɛ ɓâŋ mɛ̀.	U teembene bañ me.
Makàbò mana ma mɓulūl mɛ̂.	Makabô mana ma mbulul me.
Hoo kɔ̀di.	Hôô kodi.
Mùt nunu à ǹlɔŋ(ɓa) pên munu pōndı̂.	Mut nunu a nloñ(ba) pén munu pôndi.
Ɓa nsɔ̄hna manyɔ̀.	Ba nsohna manyo.
Hyàŋgaa hi mɓèyey mbɔt.	Hyañgaa hi mbéyéy mbot.
Mɔ̀ni wɔ̂ŋ vanɛ à yè hɛɛ?	Moni woñ vane a yé hee?
Ǹtùk bɔ̂l.	Ntuk bol.
Hɛɛ à ǹlɛ̂mna i tùn?	Hee a nlemna i tun?
Mùdàa à nhɛ̀y hikɔ̀k.	Mudaa a nhey hikok.
Ɓa èŋgel mɓɔm yak pāstò.	Ba éñgél mbom yak pastô.
Ŋgɛs pià.	Ñges pia.
Kop mànum.	Kôp manum.
Ǹcɛ̂p ɛ u nsembes hikɔ̀ŋgɔ̀ ŋgaa.	Ntjep e u nsémbés hikoñgo ñgaa.
Sogol à ńyı̄ âŋ ntɛ̀t.	Sôgôl a nyi añ ntet.
ı̂Ni à ǹtidı̄s ŋgandàk bı̀tòŋ.	ini a ntidis ñgandak bitôñ.
Ǹce bı̀lɔ̀ŋ (Yer.4,7).	Ntjé biloñ (Yér.4,7).
Ù kòm ɓâŋ mɛ̀ mbus.	U kôm bañ me mbus.
à ŋgwēs nyɛ ɓāyɓay	a ñgwés nye baybay
Ǹhòŋôk wɔn à ɓâk à hoŋōk nlom ni bı̀tɛmbɛɛ.	Nhôñôk won a bak a hôñôk nlôm ni bitembee.
Ŋ̀kana minàŋgà.	Ñkana minañga.
Bı̀lı̂kleyà à ŋkɔ̀n.	Bilikléya a ñkon.
À m̂pednɛ i dɔ̂ktà.	A mpédne i dokta.
M̀bayɛ̀ yɔn i ntı̄ miŋkòo ɓa ŋkèŋel miŋgɔndɔ.	Mbaye yon i nti miñkôô ba ñkéñél miñgondo.
Mɛ̀ ŋ̀ɛglɛ ŋkwadɛ wɛ̂m likòlòl jɔŋ.	Me ñegle ñkwade wem likôlôl joñ.
Ɓa nhuunɛ matōà.	Ba nhuune matôa.
Yaa i minjòhà (M.Y. 3,14).	Yaa i minjôha (M.Y. 3,14).
Ŋ̀kɔnd likàbò u nlɛ̀t.	Ñkond likabô u nlet.
Ɓòt ɓa nhigis yı̂mb.	Bôt ba nhigis yimb.
Mı̀ŋkɛk mi ŋkɔ̀gɔ̂k ɓɔ̂blà.	Miñkek mi ñkogok bobla.
Ɓɔ̀ŋgɛ ɓa mɓêndɓàhà.	Boñge ba mbéndbaha.
À mɓōl ɓôt ŋgambi.	A mbôl bôt ñgambi.
Paùlò à biāŋal miŋaŋ mı̀nlam (Rom 2:16).	Paulô a biañal miñañ minlam (Rôm 2:16).
Mɛ̀ mɓàɛnɛ bitòŋ ni hı̀kat (...i hı̀kat).	Me mbaene bitôñ ni hikat (...i hikat).
Lı̀kɔ̀ndò li ŋkòyop minsòa; ŋ̀òò likɔ̀ndɔ̀.	Likondô li ñkôyôp minsôa; ñôô likondo.
Mɛ̀ m̂ɓaà, wɛ̀ kɛ̀nga nı̀ bı̀su.	Me mbaa, we kenga ni bisu.
Hı̀kùù hi ntoŋ.	Hikuu hi ntôñ.
À ǹsul mɛ ŋgɔ̀nd.	A nsul me ñgond.
Ɓàmkɔ̀gɔ̀ɔ̀ à yè mɛ̀ i wɔ̌m, à sɔ̀li i sı̄ ŋgɔ̀k.	Bamkogoo a yé me i wom, a soli i si ñgok.
Hɔ̀ma nunu à ye ɓɛ̀ɛ̀m.	Homa nunu a yé beem.
Màlêt à ǹtombōs kêgsɛ̀; lı̀kè li ntombōs mɛ̂.	Malét a ntômbôs kégse; liké li ntômbôs me.
Ŋwɛ̀t mbay.	Ñwet mbay.
Ɓɔ̀ma i ntāgɓɛ i mbēdge sǔglù.	Boma i ntagbe i mbédgé suglu.
Ɛ i uwnɛ i ŋgı̀i ndap.	E i uwne i ñgii ndap.
"Nu à yè Àmɛ̀n, mùt màliga..." (Mas.3,14).	"Nu a yé Amen, mut maliga..." (Mas.3,14).
Nunu mùt à ncàŋgap ŋgandàk.	Nunu mut a ntjañgap ñgandak.
À ŋ̀kadā muy i ndāp.	A ñkada muy i ndap.
Ɓòt ɓa mɓèna wɔ likòlòl i ŋwɔ̌m mi sēp.	Bôt ba mbéna wo likôlôl i ñwom mi sép.
Kɛ̀ kwɛŋgɛkwɛ̀ŋgɛ̀ .	Ke kweñgekweñge .
Mɔ̀ɔ̀ mɔŋ ma nsūnɛ̂.	Moo moñ ma nsune.
Bı̀sûdmàn bi nlûhlaha ŋgôy.	Bisudman bi nluhlaha ñgôy.
Jàbdà su.	Jabda su.
Ŋgɛ̀ŋgɛyà à ŋŋwɛ̀k cɛ̂bcɛ̀p.	Ñgeñgeya a ññwek tjebtjep.
Mɛ̀ mɓāghɛnɛ nyɛ kwādɛ.	Me mbaghene nye kwade.
Ŋwɛ̌t wɔm à m̂ɓâk sɔsɔ̄ yòo.	Ñwet wom a mbak soso yôô.
Jògà li ɓaŋgɔmı̂n li mɓèmes ɓôt ŋgàndàk i kɛ̄l ŋgànd.	Jôga li bañgomin li mbémés bôt ñgandak i kel ñgand.
Màkɛlɛ ma ye kɔ̀n u ɓɔŋgɛ.	Makele ma yé kon u boñge.
Òt ŋgwee lɛ hùs.	Ôt ñgwéé le hus.
Ndèmnà ŋ̀kwɛ̀l.	Ndémna ñkwel.
À yè mboo kwɛ̂hkwɛ̀s.	A yé mbôô kwehkwes.
Màlep mà leega ma nsòghànà.	Malép ma lééga ma nsôghana.
Ɓòt ɓa ncı̀m ? ncı̄m ? ngandàk dilɔ̄ tini! .	Bôt ba ntjim ? ntjim ? ngandak dilo tini! .
Ɓɔ̀ŋgɛ ɓa nlòòha yem i ŋgèdà ɓa ye ı̄ nɔ̀y.	Boñge ba nlôôha yém i ñgéda ba yé i noy.
Lèman i ŋwɛ̀k.	Léman i ñwek.
Ndàmbà (ı̀) ɓɔ̀t ini ı̀ yè kii?	Ndamba (i) bot ini i yé kii?
Ŋgɛ̀gi à ŋkɛ̀ ɓigdiɓı̀gdı̀.	Ñgegi a ñke bigdibigdi.
Mǎn à ŋ̀ôŋgɓa i kède lı̀ɓum.	Man a ñôñgba i kédé libum.
À ŋ̀ûdha mɛ mǎn sı̀bà; dı̀ biùdha dikɔda.	A ñudha me man siba; di biudha dikoda.
Pàdà à ŋkwèges maɓɛ.	Pada a ñkwégés mabe.
Hɛ̀ɛ ù ǹloôs ndumbı̄ ǹsɔŋ ù mɓàmbal ɓe tɔ̀ kɔ̀p mbɔk.	Hee u nlôôs ndumbi nsoñ u mbambal bé to kop mbok.
À m̂ɓep mɛ fı̄p.	A mbép me fip.
Hı̀kogâ hi ndap .	Hikôga hi ndap .
Ɓana ɓɔ̀ŋgɛ ɓa mɓɔ̀ŋ mandaa lɛ!	Bana boñge ba mboñ mandaa le!
Ŋkı̀a wɛ̂m à ŋkɛ̀ i sɛ̀ɛ̀ nyògol wɔ̂ŋ hı̀òndɛ̀.	Ñkia wem a ñke i see nyôgôl woñ hiônde.
Mɛ̀ mɓı̀nnɛ man kɛ̀y nunu nı̀ mbom kɛ̀y.	Me mbinne man key nunu ni mbôm key.
